stimulus_index,stimulus_id,source_image_name,category,relative_image_path,width,height,sha256
0,low_031.jpg,low_031.jpg,Manipulated Images,Manipulated Images/low_031.jpg,1024,768,3f62dddb63bb5631e7ae6d65b5ecbbb978cee74f3ee909e2ef4511d764a4996d
1,low_032.jpg,low_032.jpg,Manipulated Images,Manipulated Images/low_032.jpg,1024,768,85c0e6945908b6e75eed25e044c53846c69724c93b026efbf43f89de15ffc4e8
2,low_033.jpg,low_033.jpg,Manipulated Images,Manipulated Images/low_033.jpg,1024,768,2398c96cf07cd0e3c3b385ab3f2d2074fe73d56b698651a9a61bad4400166a11
3,low_034.jpg,low_034.jpg,Manipulated Images,Manipulated Images/low_034.jpg,1024,768,6a30435fd64d72d5aa6ad942f507664311b3670fcede588b3f525117519e2c71
4,low_035.jpg,low_035.jpg,Manipulated Images,Manipulated Images/low_035.jpg,1024,768,9275ad912eaf98faf627b3c503e9fab724913b340617b818edb4ec9d77f2c685
5,low_036.jpg,low_036.jpg,Manipulated Images,Manipulated Images/low_036.jpg,1024,768,fe9108fc84a4e8386d978c849b25071e091b3d8044ea1db1c1dbb897687cc7f1
6,mood_37.jpg,mood_37.jpg,Manipulated Images,Manipulated Images/mood_37.jpg,1024,768,a6472ea2243150837d53459eef64f7a68c399f4c00a4e5178135452f3f801e3a
7,mood_38.jpg,mood_38.jpg,Manipulated Images,Manipulated Images/mood_38.jpg,1024,768,896622358dc12ab4bce717b290324426b777569f718f3a6ff88b609dddf9a7ce
8,mood_39.jpg,mood_39.jpg,Manipulated Images,Manipulated Images/mood_39.jpg,1024,768,4246de52e6e0225e4ef368bf3cac5ea8276757bb27fbb47735d9a9949e667aa5
9,mood_40.jpg,mood_40.jpg,Manipulated Images,Manipulated Images/mood_40.jpg,1024,768,fd79259fbca1bc64ab9dcdea6f62b92a27b1819abdeef36df8bd9330ccc2bbb6
10,mood_41.jpg,mood_41.jpg,Manipulated Images,Manipulated Images/mood_41.jpg,1024,768,69b1ab15f9c6fd9101c33618174711930fe157bd55869d6142b778b589d849d0
11,mood_42.jpg,mood_42.jpg,Manipulated Images,Manipulated Images/mood_42.jpg,1024,768,8dbff99ab74eb20a6c43d7e80ae84c8edc402cafc02ed9761cc1289a84c4f17b
12,mood_43.jpg,mood_43.jpg,Manipulated Images,Manipulated Images/mood_43.jpg,1024,768,8463c3477f0d25fb7278b7a510b026d93c6a5c61dac2ff1142a4f5930a99ef5b
13,mood_44.jpg,mood_44.jpg,Manipulated Images,Manipulated Images/mood_44.jpg,1024,768,4385f5d0d5fa33e527ad2b244dfb9ad18a9ae428e048961ab9a9d4104e15aa0f
14,mood_45.jpg,mood_45.jpg,Manipulated Images,Manipulated Images/mood_45.jpg,1024,768,1e935e66aeef084cda7042f45a9a72e42587e4597f3efa3911ca2e1a53ac5038
15,mood_46.jpg,mood_46.jpg,Manipulated Images,Manipulated Images/mood_46.jpg,1024,768,ed3e17fa3298c76b6a60ef5a4f97f484f2d18ab86f0dd23300912b490c6aa85a
